,RivLevel41_Well_6_Water_Level_m_Legacy,RivLevel41_Well_7_Water_Level_m_Legacy,RivLevel41_Well_5_Water_Level_m,RivLevel12_Well_1_WaterLevel_m_Legacy,RivLevel22_Well_3_Water_Level_m_Legacy,RivLevel22_Well_2_Water_Level_m_Legacy,RivLevel51_Well_16_Water_Level_m_Legacy,RivLevel51_Well_15_Water_Level_m_Legacy,RivLevel23_Well_14_Water_Level_m_Legacy,RivLevel32_Well_10_Water_Level_m_Legacy,RivLevel23_Well_13_WaterLevel_m_Legacy,RivLevel12_Well_12_WaterLevel_m_Legacy
2019-05-06,,,,-3.894539618,-6.04367931,-11.243721396000002,-19.52311383,-20.536459680000004,-26.706461057000006,-14.26054144,-17.546483558,-4.860994325
2019-05-07,-7.965054880000001,-8.646688460000002,-20.350827812000002,-3.899820278000001,-6.140491409999999,-11.262086358,-19.609071240000002,-20.61097566,-26.765839144999994,-14.335644159999998,-17.546512894999996,-4.873022495000001
2019-05-08,-7.9718023900000015,-8.729418800000003,-20.37089432,-3.894275585,-6.22527534,-11.279512535999999,-19.644862380000003,-20.63415189,-26.801894318,-14.391091090000005,-17.546454220999998,-4.878655199000001
2019-05-09,-7.9989684520000015,-8.79748064,-20.382423761000002,-3.899174864000001,-6.253732229999999,-11.296439984999997,-19.647796080000006,-20.652927570000003,-26.826068005999993,-14.418081130000001,-17.546424884,-4.883525141000002
2019-05-10,-8.040626992,-8.897519810000002,-20.392515689,-3.9056583410000005,-6.321500700000001,-11.314511577000001,-19.696202129999996,-20.705440799999995,-26.862416549000002,-14.471474470000004,-17.54636621,-4.894115798000001
2019-05-11,-8.080994704,-9.05329928,-20.415017168,-3.910029554000001,-6.390736019999999,-11.333639301000002,-19.71879162,-20.762061210000002,-26.904808514,-14.520173889999999,-17.546307535999997,-4.904178389000001
2019-05-12,-8.112443968000001,-9.116667199999997,-20.427162686,-3.9114377300000003,-6.416552579999999,-11.351622882,-19.72407228,-20.811054000000006,-26.943768049999996,-14.55596503,-17.546248862000002,-4.912774130000001
2019-05-13,-8.142543730000002,-9.20115776,-20.450573612000003,-3.910381598,-6.4441293600000025,-11.369958507,-19.725245760000004,-20.84479155,-26.980967366,-14.58794236,-17.546131514000002,-4.919668325
2019-05-14,-8.156156098,-9.25044392,-20.454622118,-3.911760436999999,-6.4582111200000005,-11.386064520000001,-19.732286640000005,-20.887916939999997,-27.019662868999994,-14.61698599,-17.546131514000002,-4.925975779999999
2019-05-15,-8.14107688,-9.25044392,-20.447845271000006,-3.897003926,-6.45498405,-11.400645009000002,-19.722605430000005,-20.87500866,-27.037705124,-14.612585440000002,-17.546072839999997,-4.923687494
2019-05-16,-8.156068087000001,-9.24516326,-20.460870899,-3.4354449049999998,-6.43708848,-11.411617047,-19.731699900000006,-20.90405229,-27.052960364,-14.633708079999998,-17.545955492,-3.9122064080000003
2019-05-17,-6.709724650000002,-6.85566461,-20.455414216999998,-3.3882416720000004,-3.8774352299999997,-11.325366267,-19.26934878,-20.17356099,-18.02267972,-14.68006054,-15.425125087999998,-3.7961492359999998
2019-05-18,-6.293432619999999,-6.663800630000001,-20.125490315,-3.461349476,-4.01795946,-11.223508203000002,-16.50639012,-20.540860229999996,-17.846951090000005,-13.975092429999997,-15.544614689,-3.999014591
2019-05-19,-5.752164969999999,-6.325251649999999,-19.789552328,-3.4138822100000006,-3.81846786,-11.130392564999998,-15.45084486,-20.067654420000004,-16.38948893,-13.11405148,-15.217448465,-3.874625711000002
2019-05-20,-5.486078379999999,-5.927148559999999,-19.280350019,-3.4578877100000005,-3.80467947,-11.03578074,-14.790762359999999,-20.308804560000002,-16.19791832,-12.52789822,-15.272426003,-3.9489069950000006
